# SCM estimates of absolute mRNA and protein levels, scaled to (average) molecules per haploid cell, for haploid budding yeast (S.cerevisiae) growing exponentially in rich medium with glucose 
#
# Generated Tue Apr 07 00:00:36 2015 
#
# Citation:
#   "Accounting for experimental noise reveals that transcript levels,
#   amplified by post-transcriptional regulation, largely determine steady-state protein levels in yeast,"
#   Gábor Csárdi, Alexander Franks, David S. Choi, Eduardo M. Airoldi, and D. Allan Drummond, PLoS Genetics, 2015
#
# orf = Systematic yeast ORF (open reading frame) identifier
# gene = Common gene name
# mrna = Messenger RNA level
# prot = Protein level
# sd.mrna = Standard deviation on estimates of log-transformed mRNA levels (mRNA lower bound = exp(log(mrna)-sd.mrna)), mRNA upper bound = exp(log(mrna)+sd.mrna)))
# sd.prot = Standard deviation on estimates of log-transformed protein levels (protein lower bound = exp(log(prot)-sd.prot)), protein upper bound = exp(log(prot)+sd.prot)))
# n.mrna = Number of mRNA-level measurements
# n.prot = Number of protein-level measurements
orf	gene	mrna	prot	sd.mrna	sd.prot	n.mrna	n.prot
YBL113C		2.1139	242.483	0.294	0.354	8	0
YBR001C	NTH2	2.3073	851.205	0.250	0.325	10	5
YBR002C	RER2	4.2372	3638.633	0.251	0.234	10	5
YBR003W	COQ1	3.2359	1414.505	0.284	0.220	10	5
YBR004C	GPI18	2.8204	339.685	0.275	0.338	12	0
YBR005W	RCR1	2.9785	662.812	0.249	0.249	11	1
YBR006W	UGA2	1.4468	338.380	0.279	0.371	9	3
YBR007C	DSF2	1.9449	424.846	0.267	0.347	11	4
YBR008C	FLR1	1.6398	185.256	0.316	0.412	9	0
YBR009C	HHF1	31.2390	53661.601	0.254	0.245	10	4
YBR010W	HHT1	41.2838	23303.063	0.314	0.334	11	2
YBR011C	IPP1	48.1524	69615.086	0.254	0.222	12	11
YBR012W-A		0.4603	39.807	0.340	0.479	3	0
YBR012W-B		0.2504	14.327	0.350	0.464	3	0
YBR013C		1.6734	200.639	0.311	0.428	9	1
YBR014C	GRX7	3.8754	1107.470	0.285	0.330	10	5
YBR015C	MNN2	5.2184	3289.346	0.269	0.231	10	7
YBR016W		8.0772	1922.382	0.272	0.218	11	5
YBR017C	KAP104	4.9148	3606.510	0.249	0.236	11	7
YBR018C	GAL7	0.4240	38.503	0.337	0.430	6	1
YBR019C	GAL10	0.5869	54.311	0.263	0.404	9	0
YBR020W	GAL1	0.6463	58.379	0.299	0.433	9	0
YBR021W	FUR4	1.3929	210.239	0.274	0.350	9	2
YBR022W	POA1	2.6360	900.710	0.264	0.285	11	3
YBR023C	CHS3	5.0646	2340.223	0.240	0.233	12	5
YBR024W	SCO2	2.9813	813.923	0.261	0.317	12	3
YBR025C	OLA1	35.7674	56164.172	0.256	0.250	12	9
YBR026C	ETR1	3.9894	1693.141	0.259	0.296	11	7
YBR028C	YPK3	3.4926	1777.024	0.267	0.236	9	3
YBR029C	CDS1	4.7975	1554.408	0.255	0.332	12	3
YBR030W	RKM3	1.7881	898.295	0.264	0.290	9	4
YBR031W	RPL4A	30.5048	15590.152	0.257	0.386	10	7
YBR033W	EDS1	0.8005	64.647	0.298	0.385	9	0
YBR034C	HMT1	10.7467	11086.365	0.260	0.229	12	7
YBR035C	PDX3	6.9754	2464.764	0.284	0.395	12	6
YBR036C	CSG2	8.1960	4559.247	0.244	0.273	12	4
YBR037C	SCO1	2.3849	841.138	0.249	0.272	11	4
YBR038W	CHS2	2.9852	498.163	0.286	0.344	11	3
YBR039W	ATP3	11.0401	14892.512	0.218	0.208	11	8
YBR040W	FIG1	0.4641	36.896	0.314	0.463	7	0
YBR041W	FAT1	5.6030	3091.043	0.270	0.285	12	4
YBR042C	CST26	3.6371	899.789	0.271	0.290	12	4
YBR043C	QDR3	2.5382	433.593	0.249	0.340	12	3
YBR044C	TCM62	1.4343	240.759	0.276	0.392	9	2
YBR045C	GIP1	0.3446	19.328	0.351	0.454	6	0
YBR046C	ZTA1	4.5333	1790.226	0.262	0.269	11	7
YBR047W	FMP23	1.0589	275.051	0.260	0.346	9	1
YBR048W	RPS11B	22.1883	5628.889	0.227	0.297	11	4
YBR049C	REB1	5.5727	5865.069	0.268	0.259	11	6
YBR050C	REG2	0.8848	82.141	0.313	0.386	9	0
YBR052C	RFS1	7.0584	5260.620	0.227	0.215	11	7
YBR053C		4.8588	2108.042	0.272	0.231	12	5
YBR054W	YRO2	5.4925	3704.205	0.257	0.235	11	6
YBR055C	PRP6	2.5664	901.735	0.291	0.320	11	4
YBR056W		4.7389	1950.190	0.256	0.284	12	6
YBR057C	MUM2	2.9584	1163.334	0.275	0.275	10	3
YBR058C	UBP14	3.3812	1411.428	0.260	0.299	11	5
YBR058C-A	TSC3	1.9052	1136.406	0.292	0.274	4	4
YBR059C	AKL1	4.7624	2488.652	0.261	0.220	10	7
YBR060C	ORC2	2.0064	677.733	0.290	0.306	9	3
YBR061C	TRM7	3.5187	1947.548	0.282	0.235	11	4
YBR062C		3.1893	389.333	0.288	0.324	10	2
YBR063C		1.8753	223.496	0.262	0.406	11	0
YBR065C	ECM2	1.7199	709.155	0.244	0.302	9	3
YBR066C	NRG2	2.0565	346.564	0.240	0.297	10	1
YBR067C	TIP1	20.5941	12611.770	0.236	0.232	11	2
YBR068C	BAP2	13.3594	15534.004	0.239	0.240	12	5
YBR069C	TAT1	7.4560	4543.883	0.246	0.224	11	4
YBR070C	ALG14	3.1403	1060.933	0.255	0.218	11	3
YBR071W		3.7026	831.108	0.253	0.285	12	3
YBR072C-A		0.1226	4.788	0.397	0.541	4	0
YBR072W	HSP26	3.3826	2546.226	0.254	0.240	10	8
YBR073W	RDH54	5.0045	1345.263	0.230	0.208	12	6
YBR074W	PFF1	2.6370	598.472	0.260	0.366	10	3
YBR076W	ECM8	0.5880	39.959	0.281	0.414	8	0
YBR077C	SLM4	4.9573	2930.811	0.266	0.238	11	5
YBR078W	ECM33	25.1252	9500.224	0.293	0.311	12	6
YBR079C	RPG1	14.6366	32581.666	0.251	0.221	12	8
YBR080C	SEC18	5.0197	4797.342	0.264	0.268	10	8
YBR081C	SPT7	2.6068	1173.360	0.253	0.225	10	4
YBR082C	UBC4	31.5610	23549.422	0.252	0.253	12	7
YBR083W	TEC1	3.7006	734.272	0.268	0.259	11	3
YBR084C-A	RPL19A	44.2130	52276.801	0.253	0.197	10	5
YBR084W	MIS1	10.7604	7073.569	0.239	0.229	12	8
YBR085C-A		2.0086	2684.474	0.282	0.270	4	5
YBR085W	AAC3	2.4979	850.745	0.235	0.283	11	3
YBR086C	IST2	9.2705	3411.399	0.251	0.243	12	6
YBR087W	RFC5	4.6027	2154.072	0.242	0.235	12	8
YBR088C	POL30	7.8662	2571.465	0.303	0.350	11	6
YBR089C-A	NHP6B	2.1845	3275.000	0.287	0.246	4	6
YBR090C		3.9478	3116.310	0.256	0.247	9	1
YBR091C	TIM12	2.8351	519.053	0.274	0.350	11	2
YBR092C	PHO3	8.9123	2391.524	0.259	0.256	11	7
YBR093C	PHO5	5.4994	1546.286	0.239	0.277	12	5
YBR094W	PBY1	2.7582	1088.635	0.227	0.236	11	4
YBR095C	RXT2	2.9268	1151.308	0.248	0.213	11	5
