# scer_aggregation_psup_long.txt 
# Generated:  Tue Feb 19 18:22:52 2019 
#
# Citation: 
#    Reversible, specific, active aggregates of endogenous proteins assemble upon heat stress. Edward W.J. Wallace, Jamie L. Kear-Scott, Evgeny V. Pilipenko, Michael H. Schwartz, Pawel R. Laskowski, Alexandra E. Rojek, Christopher D. Katanski, Joshua A. Riback, Michael F. Dion, Alexander M. Franks, Edoardo M. Airoldi, Tao Pan, Bogdan A. Budnik, D. Allan Drummond. Cell 162(6), 2015. http://drummondlab.org/endogenous-aggregates 
# 
# Columns:
#   orf: systematic orf name
#   gene: gene name from SGD
#   experiment: experiment id; temperature, time, and replicate
#   n.detections: number of peptide detection events
#   n.peptides: number of unique peptides detected
#   intensity.t: summed intensity for total (light) channel
#   intensity.s: summed intensity for supernatant (medium) channel
#   intensity.p: summed intensity for pellet (heavy) channel
#   psup: normalized proportion in supernatant
#   psup.lo: normalized 2.5% percentile of psup
#   psup.hi: normalized 97.5% percentile of psup
# 
orf	gene	experiment	n.detections	n.peptides	intensity.t	intensity.s	intensity.p	psup	psup.lo	psup.hi
YAL023C	PMT2	30C.rep2	2	3	23485000	4820200	102537000	0.0525	0.0209	0.1274
YAL023C	PMT2	37C.8min	0	1	NA	NA	NA	0.082	0	0.887
YAL023C	PMT2	42C.8min	2	2	218670	202037	1991750	0.1446	0.0383	0.4417
YAL023C	PMT2	46C.2min	2	3	9505700	885880	7318440	0.0551	0.015	0.1977
YAL023C	PMT2	46C.4min	16	10	196129280	21268270	196788863	0.0703	0.0514	0.0976
YAL023C	PMT2	46C.8min	4	3	3491850	5869891	7668870	0.1442	0.0807	0.2497
YAL024C	LTE1	30C.rep1	0	1	NA	NA	NA	0.329	0.0011	0.8977
YAL024C	LTE1	30C.rep3	2	2	839108.000000001	1631847	3502500	0.295	0.084	0.6671
YAL024C	LTE1	42C.8min	1	1	23826000	1462200	2725800	0.1031	0.0119	0.6202
YAL024C	LTE1	46C.4min	1	1	125550000	4268700	3404400	0.3247	0.0694	0.8147
YAL025C	MAK16	30C.rep1	2	3	1430930	2079830	1536490	0.3517	0.157	0.6344
YAL025C	MAK16	37C.8min	1	1	12981000	4932000	12128000	0.3905	0.0603	0.8892
YAL025C	MAK16	46C.4min	2	2	16246500	5861100	8363299.99999999	0.3755	0.1601	0.6765
YAL026C	DRS2	30C.rep1	5	4	10912390	5191430	7884030	0.2451	0.1399	0.4016
YAL026C	DRS2	37C.8min	1	1	353470	2992400	8359000	0.7421	0.2871	0.9581
YAL026C	DRS2	46C.2min	0	1	NA	NA	NA	0.155	1e-04	0.8769
YAL026C	DRS2	46C.4min	3	3	22022100	7201800	21603300	0.2139	0.1019	0.4043
YAL027W	SAW1	30C.rep1	1	1	6215600	15451000	993540	0.8759	0.5564	0.9738
YAL027W	SAW1	42C.8min	1	1	2733200	1449800	588400	0.6141	0.1318	0.9486
YAL027W	SAW1	46C.2min	1	1	1671800	18834000	1686900	0.828	0.4668	0.9718
YAL029C	MYO4	30C.rep1	3	6	8747730	5674460	20023699	0.522	0.3291	0.724
YAL029C	MYO4	30C.rep2	0	1	NA	NA	NA	0.0425	0.0075	0.1974
YAL029C	MYO4	30C.rep3	1	3	5543900	747500	10853	0.3037	0.0649	0.7834
YAL029C	MYO4	46C.2min	2	1	3577800	1998880	455300	0.6724	0.2694	0.9245
YAL029C	MYO4	46C.4min	3	4	7979200	3280140	3879800	0.318	0.1608	0.5498
YAL034W-A	MTW1	30C.rep1	0	1	NA	NA	NA	0.9242	0.4699	0.9999
YAL034W-A	MTW1	42C.8min	1	1	3624600	1124400	697500	0.4545	0.0771	0.9233
YAL035W	FUN12	30C.rep1	42	24	552473630	801078730	143679656	0.7697	0.7151	0.8174
YAL035W	FUN12	30C.rep2	14	10	76127820	300985280	99708742	0.7537	0.6684	0.8267
YAL035W	FUN12	30C.rep3	9	9	8944134	26609100	2664949	0.8991	0.7745	0.9596
YAL035W	FUN12	37C.8min	8	7	43545990	76266160	19322181	0.8988	0.7851	0.96
YAL035W	FUN12	42C.8min	9	7	6716696	22239130	3130983	0.8323	0.678	0.9195
YAL035W	FUN12	46C.2min	22	10	693481870	540443840	138141006	0.7435	0.6262	0.8342
YAL035W	FUN12	46C.4min	46	22	1115279640	1014783874	427976467	0.7026	0.6483	0.7519
YAL035W	FUN12	46C.8min	17	11	42989162	62616569	70928522	0.4325	0.3504	0.5164
YAL036C	RBG1	30C.rep1	16	13	157401050	227877600	51108340	0.7216	0.6242	0.8014
YAL036C	RBG1	30C.rep2	5	4	85429600	44627700	20658880	0.6724	0.4688	0.8235
YAL036C	RBG1	30C.rep3	4	3	4672400	2992870	466913.9	0.9118	0.6463	0.9852
YAL036C	RBG1	37C.8min	8	9	167999100	47447230	44367450	0.4925	0.2841	0.7152
YAL036C	RBG1	42C.8min	7	7	237535300	133555100	16785250	0.5817	0.336	0.8007
YAL036C	RBG1	46C.2min	5	3	188129000	114956000	30057500	0.6383	0.3773	0.8437
YAL036C	RBG1	46C.4min	16	10	188246700	115633220	89676811	0.6139	0.5073	0.7075
YAL036C	RBG1	46C.8min	4	3	4612310	4410330	10988310	0.2489	0.1414	0.4088
YAL038W	CDC19	30C.rep1	454	35	21716973566.8	38876552545	2655281158.5	0.892	0.8827	0.9006
YAL038W	CDC19	30C.rep2	179	36	11205602540	45943181720	8573101752	0.8644	0.8467	0.8795
YAL038W	CDC19	30C.rep3	186	32	1548427286	2875943200.5	118013350.6	0.9492	0.9342	0.9614
YAL038W	CDC19	37C.8min	252	33	15476415087	14271824726	1139578515.1	0.9605	0.9511	0.9684
YAL038W	CDC19	42C.8min	266	35	16566590941	19012906254	1124868394.2	0.9324	0.9193	0.9431
YAL038W	CDC19	46C.2min	318	34	42076720769	36854508840	2424875144	0.92	0.908	0.9309
YAL038W	CDC19	46C.4min	414	37	42016955227	37608043853	4852833927.21	0.8942	0.885	0.9027
YAL038W	CDC19	46C.8min	244	38	4792924878.5	13713001195	1184526243.08	0.9072	0.8986	0.9147
YAL041W	CDC24	30C.rep1	3	3	10574530	9738830	3989060	0.6027	0.3596	0.8053
YAL041W	CDC24	30C.rep2	1	1	318450	372320	136290	0.721	0.3367	0.9364
YAL041W	CDC24	42C.8min	2	1	2585200	741530	1456270	0.2283	0.0548	0.6224
YAL041W	CDC24	46C.2min	1	1	2782100	1020700	574420	0.4366	0.0875	0.8853
YAL041W	CDC24	46C.4min	4	4	7915320	13204560	9085800	0.4766	0.2995	0.6634
YAL041W	CDC24	46C.8min	1	1	37546	39722	139010	0.2602	0.0889	0.5624
YAL042W	ERV46	30C.rep1	10	6	61060430	17882684	66488590	0.0971	0.063	0.1478
YAL042W	ERV46	30C.rep2	3	3	3975770	510983	4313890	0.1152	0.0485	0.2582
YAL042W	ERV46	30C.rep3	1	1	409150	38390	33456	0.1846	0.0178	0.8284
YAL042W	ERV46	37C.8min	3	2	21251950	918322.999999999	4732478.7	0.0473	0.0123	0.173
YAL042W	ERV46	42C.8min	1	2	10643000	513590	2883500	0.0427	0.0044	0.3178
YAL042W	ERV46	46C.2min	4	3	42675300	5197910	37990900	0.0641	0.0261	0.1524
YAL042W	ERV46	46C.4min	12	7	115178100	18223170	129760180	0.0871	0.0592	0.127
YAL042W	ERV46	46C.8min	7	5	4355960	1077312	11772660	0.072	0.0444	0.1152
YAL043C	PTA1	30C.rep1	4	4	13731490	14335100	2730353	0.8793	0.7376	0.947
YAL043C	PTA1	30C.rep3	1	1	25282000	48707000	1126000	0.9742	0.683	0.9992
YAL043C	PTA1	42C.8min	1	1	10563000	3680200	312980	0.8692	0.2897	0.9923
YAL043C	PTA1	46C.2min	0	1	NA	NA	NA	0.7108	0.0936	0.9997
YAL043C	PTA1	46C.4min	1	1	2422000	1929400	880060	0.6424	0.2728	0.9013
YAL043C	PTA1	46C.8min	0	1	NA	NA	NA	0.1724	5e-04	0.7414
YAL044C	GCV3	30C.rep1	6	4	121515400	189568520	7703534	0.9227	0.8519	0.9599
YAL044C	GCV3	30C.rep2	3	1	92365000	111888000	22063000	0.8728	0.7	0.9544
YAL044C	GCV3	30C.rep3	1	2	2528900	1525800	524400	0.7544	0.3122	0.9818
YAL044C	GCV3	37C.8min	1	2	106580000	26726000	653790	0.9914	0.8539	0.9997
YAL044C	GCV3	46C.2min	4	2	59811000	104866000	33160200	0.6758	0.4333	0.8633
YAL044C	GCV3	46C.4min	7	3	139730660	144661230	13514570	0.8674	0.7701	0.928
YAL044C	GCV3	46C.8min	4	4	16306020	53705200	4709630	0.8665	0.7606	0.9282
YAL044W-A	YAL044W-A	46C.2min	2	1	31190000	16746000	1549920	0.8537	0.4792	0.9718
YAL044W-A	YAL044W-A	46C.4min	1	1	654830	196190	288620	0.3358	0.0929	0.7202
YAL048C	GEM1	30C.rep1	2	2	3724800	918590	2675260	0.1524	0.0571	0.3613
YAL048C	GEM1	37C.8min	1	1	2232800	3718200	169140	0.9735	0.7141	0.9987
YAL048C	GEM1	46C.4min	2	2	60633600	53190409.9999999	12499500	0.5399	0.2646	0.794
YAL049C	AIM2	30C.rep1	2	3	7431500	29072200	877610	0.9052	0.7512	0.9678
YAL049C	AIM2	30C.rep2	2	2	6429920	8959800	2168770	0.8232	0.6089	0.9376
YAL049C	AIM2	37C.8min	3	3	13386200	28859300	4574960	0.95	0.7992	0.991
YAL049C	AIM2	42C.8min	3	2	4296330	2759770	601297	0.7963	0.477	0.9509
YAL049C	AIM2	46C.2min	1	1	4043600	49061000	16299000	0.6913	0.2899	0.9381
YAL049C	AIM2	46C.4min	1	2	4536300	12612000	2539300	0.8024	0.5	0.9452
YAL053W	FLC2	30C.rep1	3	3	6937410	2902870	6732710	0.2828	0.1385	0.5076
YAL053W	FLC2	37C.8min	1	1	6127900	569420	308140	0.3363	0.0411	0.9255
YAL053W	FLC2	46C.2min	2	1	6312100	3126100	5904900	0.2665	0.083	0.6013
YAL053W	FLC2	46C.4min	1	1	6857000	2784800	6112900	0.2804	0.0814	0.6505
YAL055W	PEX22	30C.rep1	2	2	2966430	943350	6355750	0.0987	0.0376	0.2469
YAL055W	PEX22	42C.8min	1	1	1994100	201980	710910	0.0993	0.0112	0.5663
YAL055W	PEX22	46C.2min	2	1	11095900	2069400	7210800	0.1182	0.0325	0.3698
YAL059W	ECM1	30C.rep1	3	3	18785820	28821900	3879480	0.7225	0.4787	0.8837
YAL059W	ECM1	30C.rep3	2	2	854069.999999999	438560	607859.1	0.8246	0.3682	0.9792
YAL059W	ECM1	42C.8min	1	2	4248700	2349100	1065800	0.4067	0.0837	0.8947
YAL059W	ECM1	46C.2min	4	3	33687300	24617700	6499650	0.627	0.3476	0.8477
YAL059W	ECM1	46C.4min	4	4	78288800	48377900	11721880	0.7778	0.5952	0.8952
YAL059W	ECM1	46C.8min	1	1	283430	398970	153530	0.6896	0.3461	0.903
YAL060W	BDH1	30C.rep1	2	2	4455900	9130800	2718720	0.7378	0.4777	0.9024
YAL060W	BDH1	30C.rep2	1	2	16969000	28922000	3596500	0.8996	0.6663	0.9809
YAL060W	BDH1	30C.rep3	1	1	3564300	5516400	123370	0.9758	0.6489	0.9993
YAL060W	BDH1	37C.8min	2	1	11035500	9272900	1272450	0.92	0.6135	0.9904
YAL060W	BDH1	42C.8min	1	2	5386900	1808900	276460	0.8428	0.3449	0.9871
YAL060W	BDH1	46C.2min	0	1	NA	NA	NA	0.888	0.2342	0.9999
YAL060W	BDH1	46C.4min	6	4	80821840	59955400	5358164	0.9529	0.9119	0.9759
YAL060W	BDH1	46C.8min	2	2	369971	1414240	109952	0.9066	0.7864	0.9634
YAR002C-A	ERP1	30C.rep1	11	6	97787920	24850580	164720500	0.1235	0.0827	0.1818
YAR002C-A	ERP1	30C.rep2	6	5	161005100	14313720	108603700	0.0986	0.0535	0.1763
YAR002C-A	ERP1	30C.rep3	8	4	32216040	4522122	6012661	0.1007	0.0444	0.2229
YAR002C-A	ERP1	37C.8min	9	6	78543720	12551590	26426760	0.109	0.0522	0.2156
YAR002C-A	ERP1	42C.8min	6	5	141801500	11512450	36885376.3	0.0542	0.0227	0.1275
YAR002C-A	ERP1	46C.2min	3	2	86743600	15353200	36612600	0.1851	0.0675	0.4494
YAR002C-A	ERP1	46C.4min	15	5	349545100	95159110	421041300	0.1116	0.0778	0.1585
YAR002C-A	ERP1	46C.8min	7	4	14681465	4283605.1	46912682	0.0891	0.0558	0.1387
YAR002W	NUP60	30C.rep1	4	4	5398920	6665000	6845700	0.4369	0.2663	0.6304
YAR002W	NUP60	30C.rep2	2	1	333650	298030	123032	0.7122	0.4397	0.8897
